,Title,Abstract,DOI,Link,Source,Valido,Comentario,métrica,algoritmos,deporte,liga,sexo,balanceo,preprocesado,volumen DS,features,disponibilidad de datos,link a datos,objetivo,atributo a predecir,Resultado,origen datos,año datos,autores,mejoras en comparación,críticas
,Prediction of Future NBA Games' Point Difference: A Statistical Modeling Approach,"As the NBA (National Basketball Association) is becoming more and more popular, people are trying to predict score differences of each game for many reasons, including for gambling. There are a lot of factors that can affect the game result. The aim of this article is to establish a convincing but simple model to predict the point difference for each game using previous game results, as well as deriving team ability and separate home advantages based on data from five seasons. By analyzing the games from 2012 to 2016, the model makes reasonable predictions by analyzing some crucial factors, such as team ability and home advantage, even as compared to the bookie's point spread. Although there are still some factors that are not concerned by the data, such as injuries, fouls and trades, the prediction of this model is still convincing. This paper applies the ""least square fit"" model to create a best-fit model. By comparing the standard error of the results, the best linear regression model is created and team strengths for each year is derived, providing good predictions.",10.1109/MLBDBI48998.2019.00056,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945583,IEEE,Si,Prediccion NBA,Standard Error,Linear Regression - OLS (Ordinary Least Squares),Baloncesto,NBA,masculino,No,Conversion de HTML a Matrices,410 partidos,Equipo local y visitante,privado,Goldsheet,Predecir la diferencia de puntos,Point Difference,1.1 STD,Obtenidos de Goldsheet,"2011/12, 2012/13, 2013/14, 2014/15, 2015/16","Jiayi Lu, Yuan Chen, Yida Zhu","- utilizar otros modelos 
- utilizar mas features (lesiones, entrenador, jugadores...)
",modelo demasiado simple que solo tiene en cuenta los que juegan
,Predictions of european basketball match results with machine learning algorithms,"The goal of this paper is to build and compare methods for the prediction of the final outcomes of basketball games. In this study, we analyzed data from four different European tournaments: Euroleague, Eurocup, Greek Basket League and Spanish Liga ACB. The data-set consists of information collected from box scores of 5214 games for the period of 2013-2018. The predictions obtained by our implemented methods and models were compared with a vanilla model using only the team-name information of each game. In our analysis, we have included new performance indicators constructed by using historical statistics, key performance indicators and measurements from three rating systems (Elo, PageRank, pirating). For these three rating systems and every tournament under consideration, we tune the rating system parameters using specific training data-sets. These new game features are improving our predictions efficiently and can be easily obtained in any basketball league. Our predictions were obtained by implementing three different statistics and machine learning algorithms: logistic regression, random forest, and extreme gradient boosting trees. Moreover, we report predictions based on the combination of these algorithms (ensemble learning). We evaluate our predictions using three predictive measures: Brier Score, accuracy and F-1-score. In addition, we evaluate the performance of our algorithms with three different prediction scenarios (full-season, mid-season, and play-offs predictive evaluation). For the mid-season and the play-offs scenarios, we further explore whether incorporating additional results from previous seasons in the learning data-set enhances the predictive performance of the implemented models and algorithms. Concerning the results, there is no clear winner between the machine learning algorithms since they provide identical predictions with small differences. However, models with predictors suggested in this paper out-perform the vanilla model by 3-5% in terms of accuracy. Another conclusion from our results for the play-offs scenarios is that it is not necessary to embed outcomes from previous seasons in our training data-set. Using data from the current season, most of the time, leads to efficient, accurate parameter learning and well-behaved prediction models. Moreover, the Greek league is the least balanced tournament in terms of competitiveness since all our models achieve high predictive accuracy (78%, on the best-performing model). The second less balanced league is the Spanish one with accuracy reaching 72% while for the two European tournaments the prediction accuracy is considerably lower (about 69%). Finally, we present the most important features by counting the percentage of appearance in every machine learning algorithm for every one of the three analyses. From this analysis, we may conclude that the best predictors are the rating systems (pi-rating, PageRank, and ELO) and the current form performance indicators (e.g., the two most frequent ones are the game score of Hollinger and the floor impact counter).",10.3233/JSA-220639,http://dx.doi.org/10.3233/JSA-220639,WOS,Si,Prediccion Basket,"Brier Score, F1 Score, Accuracy","Logistic Regression, Random Forest, XGBoost",Baloncesto,"Euroleague, Eurocup, Greek Basketball League, Liga ACB",masculino,No,Normalización,5214 partidos,"Estadísticas de partidos (puntos, asistencias, rebotes, robos, pérdidas, etc.)
Rating systems (Elo, PageRank, pi-rating)
Current form (10 últimos partidos)",público,No proporcionado,Predecir el equipo ganador de un partido,Victoria o Derrota,"Accuracy:
Greek Leauge: 78%
Spanish League: 72%
European Tournaments: 69%
",No especificado,"2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18","Tzai Lampis, Ntzoufras Ioannis, Vassalos Vasilios, Dimitriou Stavrianna","- utilizar modelos más complejos
- ampliar las features (entrenador, lesiones)
",solo un 3% más respecto a baseline
Ivan,Football and the 2013 German Bundestag Election: the Causal Influence of Emotions Originating Outside of Politics on Elections; [Fußball und die Bundestagswahl 2013: Der kausale Einfluss von ursprünglich nicht-politischen Emotionen auf Wahlen],"What influence do emotions that originate outside politics have on German federal elections? In this paper, we estimate the causal effects of football (soccer) results from the first German Bundesliga on party-list district data during the election weekend in 2013. The results from a difference-in-differences design analysis relative to the 2009 elections reveal that football results are a quasi-random treatment and thus function as a natural experiment with regional variation. Incumbent parties benefited from a positive outcome for the local football team, as measured by the difference in goals in a statistically significant result. In contrast, opposition parties did not lose clearly from these positive outcomes. The results for the oppoistion parties were sometimes significant, but always had the expected points estimates. All effects were moderated by the timing of the matches relative to the closing of the election: the greater the time lag, the smaller the effects, although these effects were not always statistically significant, either. There was no evidence that betting odds, as the best information available before the match about the potential result, moderated the effects. Overall, the results only partially support the aggregated implications of the micro-logic of “blind retrospection” due to imprecise and instable estimates. © 2019, Deutsche Vereinigung für Politikwissenschaft.",10.1007/s11615-019-00188-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074143416&doi=10.1007%2fs11615-019-00188-4&partnerID=40&md5=422c51f52155e9f9d3306c84eb61e9f8,SCOPUS,No,"Relaciona como el resultado de un partido de futbol afecta a las emociones y luego esto a las elecciones, no predice nada de partidos",,,,,,,,,,,,,,,,,,,
Ivan,Expert Analysis: The Reciprocal Relationship between Sports Gambling and Fantasy Football on Television,"Television coverage of football gambling established the industrial preconditions within sports media for fantasy sports coverage to emerge and proliferate. Coverage of gambling and fantasy sport encourages active, dedicated consumptive behaviour and participation from audiences. The popularization of content devoted to these activities illuminates key tensions marking the discourses around both sports betting and fantasy football since leagues like the NFL have distanced themselves from gambling. Nonetheless, paratextual television programmes dedicated to sports gambling developed the discursive frameworks that define sports betting and fantasy football as skill- and research-based pastimes. Gambling experts, especially Jimmy ‘the Greek’ Snyder, facilitated the emergence of contemporary ‘fantasy gurus’ like ESPN’s Matthew Berry. These on-air experts brand themselves through a particular combination of statistical analysis, commentary, and humor. Both Snyder and Berry analyze statistical data and trends to offer viewers reasons to put specific players in weekly fantasy lineups or bet a certain way. Historically, sports betting and fantasy football programmes have had a mutually-beneficial relationship with media industries. This relationship reveals the process by which marginal forms of sports media can move from the periphery to the center of fan culture. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",10.1080/09523367.2021.1876673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101194004&doi=10.1080%2f09523367.2021.1876673&partnerID=40&md5=cae94db65d575be9d4842e3a83683cab,SCOPUS,No,"No tiene que ver con predccion, es la relacion entre programas de televisión y el gambling",,,,,,,,,,,,,,,,,,,
Ivan,Cross-Cultural Difference of Free Agency (FA) System Between MLB and NPB (Nippon Professional Baseball),"This study explored FA system of MLB and NPB, and summarized the cross-cultural difference of FA between MLB and NPB. First, the cognitive biases that are observed in common to both leagues were discussed from the viewpoint of our propensity to inaccurately predict the future. Second, the cross-cultural difference was discussed from the two viewpoints: (1) difference of mindset between two leagues, and (2) difference of authority of commissioner between two leagues. Finally, it was proposed how inefficiencies in baseball markets in sports management (failure in FA) should be avoided for the coexistence of teams and the prosperity of the league.",10.1007/978-3-030-20145-6_56,http://dx.doi.org/10.1007/978-3-030-20145-6_56,WOS,No,"Analiza el sistema free agency, no le veo ninguna utilidad",,,,,,,,,,,,,,,,,,,
,Player Pricing Mechanisms and the Daily Fantasy Sport Chance Versus Skill Debate,"Differentiating and defining games of skill versus chance have major legal implications when classifying gambling, especially in relation to daily fantasy sports in the United States. This paper provides a theoretical discussion and introduces an empirical approach to analyzing game player pricing mechanisms. If game pricing mechanisms are fully efficient-player prices fully reflect the expected contributions from players-then that game is one of chance since there is no opportunity for skill to play a role in outcomes. This paper examines player prices from DraftKings' daily fantasy football product. Empirical results show that there are strategies deriving from the pricing mechanism that can be incorporated by skilled participants to increase their expected performance and improve their chances of winning. This provides evidence that daily fantasy sports are skill-based-a necessary condition for skill to be a predominant factor in game outcomes as part of the legal debate.",10.32731/IJSF/164.112021.04,http://dx.doi.org/10.32731/IJSF/164.112021.04,WOS,Si,"Es sobre el precio en el fantasy, se podria usar",,,,,,,,,,,,,,,,,,Your subscription does not include this content.,
,Holdover Bias in the College Football Betting Market,"This article investigated the efficiency of the college football betting market for the following season’s first game for members of the final Associated Press Top 25 Poll. Market inefficiency was identified, with bets against these teams winning significantly more than half the time. Separate analysis of the top 10 and the remaining members of the Top 25 indicated that the inefficiency was due to the previous season’s top 10 being significantly overvalued in the betting market at the start of the next season. Bets against the top 10 teams won significantly more than the 52.4% necessary for profitability. This was especially true when they played non-Power 5 schools. Efficiency could not be rejected for the teams ranked 11 through 25. The study contributed to the literature on betting market efficiency by providing evidence that bettors could be backward-looking and over-rely on outdated information. © International Atlantic Economic Society 2019.",10.1007/s11293-019-09611-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062797734&doi=10.1007%2fs11293-019-09611-y&partnerID=40&md5=6b43339e9d1868fc7e30e5e5b12bfdc5,SCOPUS,Si,Betting,"Likelihood Ratio Test, Win % contra spread",No aplica,Fútbol Americano,NCAA College Football,masculino,No,No menciona,174 partidos,Ranking final de la temporada anterior,No se sabe,No proporciona,Ver si apostar en contra de los equipos del Top 25 es rentable,Cobertura del Spread,"- Top 25 cubre spread 42% de las veces
- Top 10 cubre spread 37% de la veces 
- Estan overrated
- Apostar en contra del top 10 genero 19.6% de retorno",Phil Steele’s College Football Preview,"2007/08, 2008/09, 2009/10, 2011/12, 2010/11, 2012/13, 2013/14, 2014/15, 2015/16",Randall W. Bennett,"- utilizar otros modelos 
- utilizar mas features (lesiones, entrenador, jugadores...)
","- No compara con modelos predictivos más avanzados.
"
,Predicting the outcome of future football games using machine learning algorithms,"Sports predictions has gained popularity as a topic of study thanks to the development of sports analytics and the accessibility of extensive and sophisticated match data. In this paper, a machine learning-based (ML) strategy for forecasting football match results is presented. In the past, the number of goals scored by each team in a football (FB) game served as a benchmark for assessing a team's performance and projecting future outcomes to forecast the results of football games, such as win, draw, or defeat. However, there are significant discrepancies between a team's performance and the number of goals scored or conceded throughout many games because the number of goals scored during a match contains a significant random element.The goal of this study is to create an accurate and dependable prediction model that will help fans, analysts, and bet enthusiasts make wise selections. The selection of features, treatment of data that is imbalanced and the generalization of models constitute significant issues that are addressed in this paper. The system learns patterns from previous encounters and player attributes to develop predictions for upcoming games. Various machine learning algorithms, including random forests (RF), support vector machines (SVM), and regression, are experimented with. The main goal of this research is to investigate various Machine Learning techniques to forecast football game results utilizing in-game match events and individual and team statistics off the field. As football remains a globally popular sport, the integration of machine learning for match prediction offers an exciting avenue for enthusiasts to enhance their understanding and enjoyment of the game.",10.1109/RMKMATE59243.2023.10370000,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10370000,IEEE,Si,ML pra predecir partidos,Accuracy,"Random Forest, Logistic Regression, Decision Tree, Support Vector Machine",Fútbol,premiere league,masculino,No,"One-Hot Encoding, limpieza de datos, eliminación de valores atípicos",No especifica,"Estadísticas de jugadores y equipos
porcentaje de posesión
precisión de pases
tiros bloqueados
importancia del partido,
etc.",No se sabe,No proporciona,"Predecir el resultado de un partido (victoria local, empate o victoria visitante)",Victoria o Derrota,- Random Forest: 81% acierto,No especificado,,"Jaeyalakshmi M, Indrajith S, Hirthik Shyam C, Kaushiik K, Eaknath M.S","- Utilizar modelos como redes neuronales
- Utilizar mas features (lesiones, entrenador, jugardores, clima...)","- No evalúa el modelo en comparación con cuotas de apuestas reales.
- No explica de donde obtiene los datos ni de que temporadas ni volumen de datos"
,Passing toWin: Using Characteristics of Passing Information for MatchWinner Prediction,"Predictingthe football match results has received great attention both in sports industry and academic fields. Many researchers have studied on predicting the match outcome using the simple features such as the number of shots and passes. However, little attention has been paid to using pass interaction features, which can represent how players in a match interact to each other. To this end, we propose a win-lose prediction model that predicts a match result using the pass interaction and other features, achieving high accuracy of 79.5%. By conducting an ablation study, we find that the proposed interaction features play an important role in accurately predicting match results. We believe our work can provide important insights both for industry and academic researchers who want to understand the characteristics of winning teams. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",10.5220/0010659000003059,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146200525&doi=10.5220%2f0010659000003059&partnerID=40&md5=65eb1a13a6cad2a3e1fe5470cf66613a
Lo he encontrado aqui:
https://www.scitepress.org/PublishedPapers/2021/106590/106590.pdf",SCOPUS,Si,Prediccion,"F1 Score, Accuracy, Recall","XGBoost, Random Forest, Support Vector Machine",Fútbol,"Chinese Super League, A-League",masculino,No,"Eliminar empates y normalización de datos, construcción de grafo dirigido de pases",2682 partidos,"Estadísticas del equipo (posesión, pases, tiros, faltas)
Estadísticas de jugadores (intercepciones, bloqueos)
Métricas de red en mapas de pases (grado de centralidad, betweenness)",público,No proporciona,Predecir qué equipo ganará el partido,Victoria o Derrota,- XGBoost: 79.5% acierto,CHAMPION DATA,"2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20","Taihu Li, Jeewoo Yoon, Daejin Choi, Jinyoung Han","- Evaluar el modelo en ligas más competitivas (Premier League, LaLiga).
- Probar otros modelos como redes neuronales pero no lo de los grafos
","- No creo que se deban eliminar los empates
- Se mira el accuracy, pero lo interesante es ver si se genera profit o no"
Ivan,Precompetitive anxiety and self-confidence during the 2023 Finnish Padel championship in high level men’s players,"The aim of the current study was to assess precompetitive anxiety and self-confidence in high level men’s padel players from Finland. Twenty eight men’s padel players from the highest category participated in the research (87.5% of the target population). The CSAI-2R (Competitive State Anxiety Inventory-2 Revised) and STAI-S (State–Trait Anxiety Inventory – State) questionnaires were used and descriptive and inferential analyzes were performed, including the Kruskal Wallis’s H and Mann–Whitney’s U tests. The results show that seeded players presented lower levels of cognitive anxiety (η2 = 0.111). Moreover, losers of first round presented more state anxiety than winners (η2 = 0.302). Before the first match, state anxiety was higher than prior to the second match (η2 = 0.148). Furthermore, lower ranked players of first round, compared to second, presented more state anxiety and somatic anxiety (η2 = 0.487 and η2 = 0.277, respectively). However, according to the results obtained, self-confidence was not affected by any of the variables analyzed (ranking, seed, result or round). These findings may be of great interest to players, coaches and sports psychologists, as they allow an enhanced comprehension of the player’s level of anxiety and self-confidence. Copyright © 2023 Conde-Ripoll, Escudero-Tena, Suárez-Clemente and Bustamante-Sánchez.",10.3389/fpsyg.2023.1301623,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180886492&doi=10.3389%2ffpsyg.2023.1301623&partnerID=40&md5=ba4a8647658b86211a2b8bd1595e09cd,SCOPUS,No,"Tiene que ver con la ansiedad de los jugadores, poco mas",,,,,,,,,,,,,,,,,,,
